Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,2004-09-30,0.596,28.162,15032.098,2.574,0,4.5106,
AAPL,2004-10-29,0.806,46.407,20327.2758,3.4807,0,4.5106,
AAPL,2004-11-30,1.031,42.245,26010.3786,4.4538,0,4.5106,
AAPL,2004-12-31,0.991,50.534,25892.5282,3.8758,0,8.4527,
AAPL,2005-01-31,1.183,40.466,30918.2519,4.6281,0,8.4527,
AAPL,2005-02-28,1.38,31.772,36658.3303,5.3997,0,8.4527,
AAPL,2005-03-31,1.282,35.37,34263.9358,4.6265,0,8.9423,
AAPL,2005-04-29,1.109,52.014,29651.0085,4.0036,0,8.9423,
AAPL,2005-05-31,1.223,42.833,32759.0454,4.4144,0,8.9423,
AAPL,2005-06-30,1.132,37.799,30329.0068,3.8488,0,9.0625,
AAPL,2005-07-29,1.312,32.785,35140.7808,4.4594,0,9.0625,
AAPL,2005-08-31,1.442,26.756,38910.6952,4.9027,0,9.0625,
AAPL,2005-09-30,1.649,31.775,44487.148,5.1646,0,11.6368,
AAPL,2005-10-31,1.772,48.174,47789.8685,5.5481,0,11.6368,
AAPL,2005-11-30,2.086,33.119,56279.0221,6.5336,0,11.6368,
AAPL,2005-12-30,2.212,30.123,60586.5831,6.2486,0,11.6368,
AAPL,2006-01-31,2.323,39.898,63637.4029,6.5633,0,9.8278,
AAPL,2006-02-28,2.107,47.83,58121.4651,5.9531,0,9.8278,
AAPL,2006-03-31,1.929,36.629,53417.3194,5.2842,0,9.8278,
AAPL,2006-04-28,2.165,46.709,59949.6988,5.9304,0,9.4058,
AAPL,2006-05-31,1.839,32.012,50834.8702,5.0356,0,9.4058,
AAPL,2006-06-30,1.762,39.711,48708.5999,4.51,0,9.4058,
AAPL,2006-07-31,2.091,50.466,57800.5317,5.3518,0,10.8009,
AAPL,2006-08-31,2.087,30.98,57706.9758,5.3432,0,10.8009,
AAPL,2006-09-29,2.368,28.914,65472.1149,5.6801,0,10.8009,
AAPL,2006-10-31,2.494,30.043,68959.1982,5.9827,0,11.2053,
AAPL,2006-11-30,2.82,22.185,78184.8443,6.7633,0,11.2053,
AAPL,2006-12-29,2.61,30.611,72900.7792,5.5953,0,11.2053,
AAPL,2007-01-31,2.637,42.9,73746.6529,5.654,0,14.1935,
AAPL,2007-02-28,2.603,32.884,72923.2334,5.5801,0,14.1935,
AAPL,2007-03-30,2.858,29.786,80076.7949,5.6389,0,14.1935,
AAPL,2007-04-30,3.07,23.368,86015.1128,6.0571,0,14.6425,
AAPL,2007-05-31,3.728,22.808,104823.9128,7.3554,0,14.6425,
AAPL,2007-06-29,3.754,30.474,105558.2537,6.7997,0,14.6425,
AAPL,2007-07-31,4.053,45.01,113965.5482,7.3412,0,15.0998,
AAPL,2007-08-31,4.26,56.949,120427.876,7.7156,0,15.0998,
AAPL,2007-09-28,4.721,41.369,133463.7936,7.9359,0,15.0998,
AAPL,2007-10-31,5.843,32.096,165188.2947,9.8222,0,13.1698,
AAPL,2007-11-30,5.606,56.04,159540.9504,9.4225,0,13.1698,
AAPL,2007-12-31,6.094,29.243,173427.0193,8.9211,0,16.455,
AAPL,2008-01-31,4.164,57.31,118931.1922,6.0963,0,16.455,
AAPL,2008-02-29,3.846,53.902,109877.0364,5.6307,0,16.455,
AAPL,2008-03-31,4.414,44.258,126118.6588,5.9971,0,13.797,
AAPL,2008-04-30,5.351,40.991,153324.9277,7.2697,0,13.797,
AAPL,2008-05-30,5.807,35.411,166406.281,7.8882,0,13.797,
AAPL,2008-06-30,5.151,36.512,147618.9017,6.4536,0,14.9583,
AAPL,2008-07-31,4.89,43.198,140809.938,6.1263,0,14.9583,
AAPL,2008-08-29,5.215,37.034,150182.5026,6.5341,0,14.9583,
AAPL,2008-09-30,3.497,80.033,100688.6288,3.9005,0,19.5052,
AAPL,2008-10-31,3.31,108,95574.9931,3.6922,0,19.5052,
AAPL,2008-11-28,2.851,80.952,82377.6175,3.1802,0,19.5052,
AAPL,2008-12-31,2.626,66.08,75870.6125,2.8574,0,18.9815,
AAPL,2009-01-30,2.773,48.342,80265.606,3.0175,0,18.9815,
AAPL,2009-02-27,2.747,50.517,79535.3519,2.99,0,18.9815,
AAPL,2009-03-31,3.234,48.6,93615.0061,3.3219,0,17.8336,
AAPL,2009-04-30,3.871,35.135,112254.1918,3.9764,0,17.8336,
AAPL,2009-05-29,4.178,36.854,121157.4488,4.2918,0,17.8336,
AAPL,2009-06-30,4.382,30.356,127063.2165,4.2449,0,18.7795,
AAPL,2009-07-31,5.026,25.909,146367.5025,4.8696,0,18.7795,
AAPL,2009-08-31,5.175,23.977,150685.3393,5.0133,0,18.7795,
AAPL,2009-09-30,5.702,19.422,166039.6388,4.5404,0,20.7422,
AAPL,2009-10-30,5.799,29.06,169613.3332,4.6175,0,20.7422,
AAPL,2009-11-30,6.15,31.207,179880.1137,4.897,0,20.7422,
AAPL,2009-12-31,6.483,26.844,189617.8086,4.5992,0,21.5392,
AAPL,2010-01-29,5.908,34.745,174161.6945,4.1918,0,21.5392,
AAPL,2010-02-26,6.295,35.164,185548.3145,4.4658,0,21.5392,
AAPL,2010-03-31,7.229,19.225,213096.7349,4.6795,0,22.7721,
AAPL,2010-04-30,8.032,26.782,237575.8209,5.199,0,22.7721,
AAPL,2010-05-31,7.902,45.811,233744.9802,5.1152,0,22.7721,
