Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,ESG_rank
A,31/12/2020,118.296,19.557,36358.6003,7.4284,52.0624,71.0638
A,29/01/2021,120.17,21.838,36874.1075,7.6294,52.0624,72.4696
A,26/02/2021,122.07,24.748,37278.8782,7.7501,52.0192,72.4696
AAP,28/02/2014,125.109,41.073,9287.9286,6.0104,69.4882,24.675
AAP,31/03/2014,124.323,14.763,9225.2117,5.9726,69.4882,25.974
AAP,30/04/2014,119.203,23.123,8846.9595,5.2174,124.359,25.974
AAP,30/05/2014,122.033,17.091,9058.7771,5.3413,124.359,26.25
AAP,30/06/2014,132.662,16.384,9843.0394,5.8065,124.359,26.316
AAP,31/07/2014,119.083,21.498,8835.5359,4.7893,102.974,26.316
AAP,29/08/2014,134.137,29.974,9955.3107,5.3947,102.974,27.273
AAP,30/09/2014,128.176,13.748,9508.701,5.155,102.974,27.273
AAP,31/10/2014,144.565,22.574,10724.4719,5.4803,90.1444,26.923
AAP,28/11/2014,144.683,19.392,10735.9838,5.4848,90.1444,24.359
AAP,31/12/2014,156.743,17.02,11626.5128,5.942,90.1444,24.359
AAP,30/01/2015,156.467,20.602,11606.0744,5.7085,81.7257,25.641
AAP,27/02/2015,152.462,28.187,11308.9881,5.5624,81.7257,25.641
AAP,31/03/2015,147.365,18.137,10948.4384,5.3764,81.7257,25.641
AAP,30/04/2015,140.779,23.51,10461.2532,4.7985,75.0155,25.641
AAP,29/05/2015,150.84,25.55,11208.9036,5.1415,75.0155,25.641
AAP,30/06/2015,156.875,23.968,11656.5603,5.3472,75.0155,25.316
AAP,31/07/2015,171.568,20.059,12748.3795,5.4866,63.5017,25
AAP,31/08/2015,172.593,33.62,12831.3493,5.5193,63.5017,26.25
AAP,30/09/2015,186.719,40.404,13876.8937,5.9711,63.5017,26.25
AAP,30/10/2015,195.487,35.8,14528.5286,5.9328,53.6119,25
AAP,30/11/2015,160.317,52.222,11917.7911,4.8654,53.6119,35
AAP,31/12/2015,148.338,31.734,11022.8399,4.4197,53.6119,32.5
AAP,29/01/2016,149.855,30.857,11135.6243,4.4649,49.0479,37.349
AAP,29/02/2016,146.297,29.313,10871.2402,4.3589,49.0479,34.94
AAP,31/03/2016,158.085,20.85,11756.5288,4.7101,49.0479,29.268
AAP,29/04/2016,153.905,18.062,11479.0797,4.3051,46.8019,30.12
AAP,31/05/2016,151.677,28.229,11315.8632,4.2428,46.8019,31.325
AAP,30/06/2016,159.42,21.159,11888.8649,4.4594,46.8019,31.325
AAP,29/07/2016,167.537,19.031,12494.2312,4.4865,42.5664,31.707
AAP,31/08/2016,155.228,21.99,11589.4895,4.1569,42.5664,31.325
AAP,30/09/2016,147.142,20.608,10981.2217,3.9403,42.5664,31.325
AAP,31/10/2016,138.222,19.222,10315.5146,3.5649,36.5234,33.333
AAP,30/11/2016,167.468,48.14,12500.4933,4.3192,36.5234,33.333
AAP,30/12/2016,166.933,18.337,12456.3011,4.2217,36.5234,34.118
AAP,31/01/2017,162.116,15.491,12096.8715,4.0998,35.7746,29.762
AAP,28/02/2017,154.585,16.715,11551.8037,3.9094,35.7746,33.673
AAP,31/03/2017,146.401,11.797,10944.3722,3.7024,35.7746,33.333
AAP,28/04/2017,140.358,15.474,10492.6012,3.4276,35.5161,31.25
AAP,31/05/2017,131.955,29.883,9867.8637,3.2224,35.5161,35
AAP,30/06/2017,115.184,35.839,8609.5501,2.8129,35.5161,34.146
AAP,31/07/2017,110.659,47.002,8271.3415,2.6128,33.3765,34.146
AAP,31/08/2017,96.719,75.971,7231.1474,2.2837,33.3765,35.443
AAP,29/09/2017,98.066,27.192,7327.1687,2.3155,33.3765,32.911
AAP,31/10/2017,80.806,30.064,6037.5279,1.8535,32.3252,35.443
AAP,30/11/2017,99.845,58.621,7463.7023,2.2902,32.3252,35
AAP,29/12/2017,98.61,39.352,7366.8959,2.1348,32.3252,35
AAP,31/01/2018,115.723,31.695,8645.3321,2.5053,30.5891,51.25
AAP,28/02/2018,113.013,44.375,8452.0002,2.4466,30.5891,51.25
AAP,30/03/2018,117.327,42.715,8770.1061,2.54,30.5891,50
AAP,30/04/2018,113.269,37.852,8470.1179,2.3699,29.4627,49.398
AAP,31/05/2018,127.293,32.059,9521.9072,2.6633,29.4627,50
AAP,29/06/2018,134.358,28.044,10046.0489,2.8111,29.4627,48.81
AAP,31/07/2018,139.833,19.133,10455.4421,2.8319,28.575,50
AAP,31/08/2018,162.408,28.747,12151.5487,3.2891,28.575,49.425
AAP,28/09/2018,166.724,17.841,12470.0982,3.3765,28.575,35.632
AAP,31/10/2018,158.236,28.562,11835.2218,3.1518,28.5714,31.034
AAP,30/11/2018,176.015,40.907,12953.9428,3.5059,28.5714,32.584
AAP,31/12/2018,156.018,27.404,11477.845,3.1838,29.4561,32.584
AAP,31/01/2019,157.742,32.783,11604.6801,3.219,29.4561,25.287
AAP,28/02/2019,160.299,33.167,11594.7943,3.2711,29.4561,25.287
AAP,29/03/2019,169.03,30.444,12221.908,3.4493,29.4561,27.174
AAP,30/04/2019,164.857,23.14,11928.0641,3.334,91.6408,29.348
AAP,31/05/2019,153.637,26.919,11119.2149,3.1071,91.6408,29.032
AAP,28/06/2019,152.844,26.227,11057.5211,3.091,91.6408,26.531
AAP,31/07/2019,149.373,26.718,10806.4421,2.9171,87.9356,28.571
AAP,30/08/2019,136.79,25.902,9847.8353,2.6714,87.9356,28.571
AAP,30/09/2019,164.073,26.859,11807.4081,3.2042,87.9356,29
AAP,31/10/2019,161.177,23.756,11598.9581,3.2318,92.284,29.293
AAP,29/11/2019,155.82,30.773,10879.2659,3.1243,92.284,23
AAP,31/12/2019,158.936,20.916,11092.5849,3.1004,91.3606,16
AAP,31/01/2020,130.743,25.966,9124.9254,2.5504,91.3606,15.686
AAP,28/02/2020,131.963,34.269,9207.288,2.5742,91.3606,16.505
AAP,31/03/2020,92.868,103.42,6461.3033,1.8116,91.3606,19.048
AAP,30/04/2020,120.325,80.205,8353.6081,2.3507,118.2374,22.222
AAP,29/05/2020,138.646,40.939,9627.1821,2.7086,118.2374,22.018
AAP,30/06/2020,141.999,39.563,9843.4689,2.7742,118.2374,24.771
AAP,31/07/2020,149.665,31.253,10374.8573,2.7768,99.632,53.636
AAP,31/08/2020,155.815,19.576,10807.08,2.8909,99.632,50.893
AAP,30/09/2020,153.262,23.096,10612.8001,2.8435,99.632,52.586
AAP,30/10/2020,147.052,20.943,10182.757,2.675,92.7662,48.739
AAP,30/11/2020,147.471,25.155,10022.1154,2.6826,92.7662,51.852
AAP,31/12/2020,157.51,22.75,10687.7684,2.9365,92.7662,51.471
AAP,29/01/2021,149.14,35.681,10119.8259,2.7805,98.611,42.029
AAP,26/02/2021,160.35,38.441,10506.8407,2.9895,98.611,42.029
AAPL,28/02/2014,16.843,31.539,469400.2986,3.2454,13.0787,33.766
AAPL,31/03/2014,17.179,13.86,478766.1832,3.4491,14.1139,33.766
AAPL,30/04/2014,18.887,29.325,508292.3033,3.7919,14.1139,38.961
AAPL,30/05/2014,20.373,28.142,545254.1613,4.0904,14.1139,42.857
AAPL,30/06/2014,20.937,14.583,560336.9536,4.1473,25.6656,41.667
AAPL,31/07/2014,21.538,18.078,572440.1031,4.2665,25.6656,41.667
AAPL,29/08/2014,23.208,15.158,613756.3867,4.5971,25.6656,41.667
AAPL,30/09/2014,22.811,24.076,603277.6191,4.7985,31.6414,42.254
AAPL,31/10/2014,24.453,23.69,633402.7031,5.1438,31.6414,41.667
AAPL,28/11/2014,27.044,14.649,697505.4026,5.689,31.6414,42.466
AAPL,31/12/2014,25.1,24.163,647361.022,4.7433,29.5172,43.836
AAPL,30/01/2015,26.642,34.232,682427.4812,5.0346,29.5172,42.466
AAPL,27/02/2015,29.327,29.072,748247.1341,5.542,29.5172,42.466
AAPL,31/03/2015,28.407,23.387,724773.3995,5.0754,34.0069,54.795
AAPL,30/04/2015,28.571,21.61,720992.8776,5.1047,34.0069,53.425
AAPL,29/05/2015,29.867,23.711,750546.9604,5.3362,34.0069,54.054
AAPL,30/06/2015,28.754,14.441,722577.1608,5.2213,43.2999,54.054
AAPL,31/07/2015,27.808,23.127,691740.199,5.0496,43.2999,57.534
AAPL,31/08/2015,25.967,39.735,643038.9517,4.7153,43.2999,57.534
AAPL,30/09/2015,25.401,40.648,629010.2551,4.749,53.8964,54.795
AAPL,30/10/2015,27.519,26.488,666252.061,5.1451,53.8964,47.945
AAPL,30/11/2015,27.36,27.87,659561.6638,5.1152,53.8964,45.205
AAPL,31/12/2015,24.344,22.839,586859.3468,4.2091,49.0875,41.667
AAPL,29/01/2016,22.512,38.577,539709.71,3.8924,49.0875,44.595
